gene_id,degree,ad_neighbors,ad_neighbor_ratio,total_neighbors
440730,4834,224,0.046338436077782375,4834
54764,4160,158,0.03798076923076923,4160
4137,947,155,0.16367476240760295,947
6117,3050,150,0.04918032786885246,3050
6118,2900,132,0.04551724137931035,2900
6119,2877,130,0.04518595759471672,2877
1956,1729,129,0.0746096009253904,1729
57664,2969,125,0.04210171775008421,2969
8452,3152,123,0.03902284263959391,3152
7706,2524,122,0.04833597464342314,2524
4914,2041,114,0.05585497305242528,2041
25962,2939,112,0.03810820006805036,2939
7415,1404,105,0.07478632478632478,1404
899,2068,99,0.047872340425531915,2068
5894,1846,98,0.05308775731310943,1846
7328,1960,96,0.04897959183673469,1960
7532,1185,96,0.0810126582278481,1185
1994,2030,95,0.046798029556650245,2030
3308,668,91,0.13622754491017963,668
7529,982,91,0.09266802443991853,982
3191,1978,86,0.043478260869565216,1978
8314,1285,83,0.06459143968871596,1285
10618,1583,82,0.05180037902716361,1583
10155,1466,79,0.0538881309686221,1466
7514,1491,77,0.051643192488262914,1491
10075,1070,77,0.07196261682242991,1070
1080,1472,76,0.051630434782608696,1472
4869,1249,76,0.06084867894315452,1249
330,1321,75,0.05677517032551098,1321
8872,1837,73,0.03973870440936309,1837
54443,1781,73,0.04098820887142055,1781
672,1222,72,0.058919803600654665,1222
821,1260,72,0.05714285714285714,1260
998,1285,72,0.05603112840466926,1285
2146,1457,72,0.04941660947151681,1457
7533,1076,72,0.06691449814126393,1076
3187,1573,71,0.04513668150031786,1573
4734,566,71,0.1254416961130742,566
26135,1443,71,0.0492030492030492,1443
60,981,70,0.07135575942915393,981
142,1308,70,0.053516819571865444,1308
1051,1420,70,0.04929577464788732,1420
3845,1284,70,0.05451713395638629,1284
203068,683,70,0.10248901903367497,683
6657,1352,70,0.051775147928994084,1352
9343,1448,70,0.04834254143646409,1448
23476,1595,70,0.0438871473354232,1595
857,723,69,0.0954356846473029,723
4193,623,68,0.10914927768860354,623
4627,753,68,0.0903054448871182,753
367,946,66,0.06976744186046512,946
2064,686,66,0.09620991253644315,686
3065,1100,66,0.06,1100
5591,703,66,0.09388335704125178,703
4171,1060,64,0.06037735849056604,1060
5371,924,64,0.06926406926406926,924
10482,1345,64,0.04758364312267658,1345
203228,1318,64,0.048558421851289835,1318
387,1178,63,0.053480475382003394,1178
10413,1085,63,0.05806451612903226,1085
112399,1292,63,0.048761609907120744,1292
51343,1120,63,0.05625,1120
2547,918,62,0.06753812636165578,918
7431,783,62,0.07918263090676884,783
6047,1408,61,0.04332386363636364,1408
8359,1766,61,0.03454133635334088,1766
832,1032,60,0.05813953488372093,1032
1969,722,60,0.08310249307479224,722
7184,660,60,0.09090909090909091,660
7874,828,60,0.07246376811594203,828
55294,941,60,0.06376195536663125,941
1050,1171,59,0.05038428693424424,1171
3313,693,59,0.08513708513708514,693
23586,1764,59,0.03344671201814059,1764
1938,546,58,0.10622710622710622,546
7186,596,58,0.09731543624161074,596
9401,1415,58,0.04098939929328622,1415
9928,1811,58,0.03202650469353948,1811
10963,1022,58,0.05675146771037182,1022
1213,668,57,0.08532934131736528,668
4000,1259,57,0.04527402700555997,1259
11091,1088,57,0.05238970588235294,1088
2260,614,56,0.09120521172638436,614
2335,807,56,0.06939281288723669,807
2597,689,56,0.08127721335268505,689
3192,999,56,0.056056056056056056,999
5245,1130,56,0.049557522123893805,1130
8945,752,56,0.07446808510638298,752
999,720,55,0.0763888888888889,720
3190,720,55,0.0763888888888889,720
4343,1287,55,0.042735042735042736,1287
1915,709,54,0.076163610719323,709
5347,825,54,0.06545454545454546,825
6780,1528,54,0.03534031413612566,1528
8451,825,54,0.06545454545454546,825
8826,560,54,0.09642857142857143,560
55054,1137,54,0.047493403693931395,1137
65992,1249,53,0.04243394715772618,1249
1540,855,53,0.06198830409356725,855
1856,535,53,0.09906542056074766,535
